TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Initial planning: @____________,4,1,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Create travel request @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Book hotel @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Book flight/train @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Register for conference @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Go through calendar and deadlines @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Week before: @____________,4,1,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Print documents @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Offline and share Evernote notebook @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Download Google maps @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Review packing list @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Pack @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Set up auto-reply @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,After trip: @____________,4,1,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Add talk to CV @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
task,Submit reimbursement forms @batch,4,2,Veronika (9775328),,,en,Europe/Amsterdam
,,,,,,,,
